stream,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Yakima River  (F) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keechelus to Easton Reach *,,,,,,,,,,,,,,,,,2,1,,1,,,3,1,,,,0,,,,,2,,,0,,,,
Ahtanum Creek  (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.F. Ahtanum Cr.,,,,,,,,,,9,14,6,5,7,5,7,11,20,17,12,8,6,7,8,1,3,0,1,2,2,1,0,2,2,9,4,0,1,3,1
(Shellneck Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.F. Ahtanum Cr. *,,,,,,,,,,,,,1,1,,0,10,1,6,8,11,5,6,5,3,9,15,11,8,7,6,4,6,9,9,15,5,6,3,9
S.F.  Ahtanum Cr. *,,,,,,,,,,,,,,,,,5,14,13,7,5,3,4,5,3,6,2,4,2,1,2,0,0,0,,1,0,0,,0
Naches River  (F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattlesnake Cr. *,,,,,,,2,,,,4,26,38,46,53,44,45,57,69,54,32,15,40,13,37,36,64,42,42,32,23,28,15,18,30,11,6,0,10,17
"(L.Wildcat Cr., Shell Cr.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American R.,,,,,,,,,,,,,25,24,31,30,44,36,27,30,40,35,55,31,22,29,47,40,54,54,37,31,30,9,26,25,14,26,22,20
"(Union Cr., Kettle Cr.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crow Cr.,,,,,,,,,,,,,,,,19,26,6,9,9,6,4,8,8,2,5,9,7,9,5,2,5,7,,13,0,,3,6,7
Rimrock Lake  (AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.F. Tieton R. *,,,,,,,32,,,38,167,95,226,177,142,161,144,158,141,178,178,205,189,152,266,259,194,234,226,151,192,160,162,191,130,154,102,116,93,160
(Bear Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Cr. *,29,69,16,35,25,39,69,123,142,140,179,201,193,193,212,205,226,117,100,101,50,91,106,58,130,200,144,147,174,10,28,49,38,37,31,44,92,71,75,177
(+spring tribs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.F. Tieton (upper)*,,,,,,,,,,,,,,,,,,,,,1,,1,37,28,15,18,11,17,10,19,27,21,39,,11,21,4,16,12
(Hellbender Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumping Lake  (AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Cr. *,,,,,,17,15,84,78,45,12,101,46,126,98,107,147,51,120,57,97,73,95,130,145,178,199,192,169,108,78,22,46,59,68,82,93,2,95,92
Bumping River (upper),,,,,,,,,,,1,0,,,,,0,,,,0,,,0,0,2,0,0,0,,0,,,,,,,,,
N.F. Teanaway River  (F/R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF Teanaway/DeRoux Cr. *,,,,,,,,,,,,,2,,,,,,,,,2,1,0,0,1,0,0,0,1,0,,,,,,,,,
Kachess Lake  (AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Canyon Cr.,5,4,3,0,0,0,5,9,5,4,11,4,8,10,16,17,10,14,15,8,19,8,8,2,8,21,30,31,9,6,10,8,7,3,13,9,9,11,9,10
Kachess R (upper) *,,,,,,,,,,,,,,,0,,15,14,0,16,8,3,0,22,2,2,15,33,8,13,9,5,9,19,17,23,2,4,0,26
Keechelus Lake  (AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Cr.,2,2,21,15,12,3,11,16,14,11,16,13,51,31,36,40,19,15,31,9,20,7,8,6,40,29,23,7,7,12,19,3,5,2,16,27,7,10,6,8
Cle Elum & Waptus Lks  (AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cle Elum R.(up) & Waptus R*,,,,,,,,,,,,,0,0,0,,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,
Summary,36,75,40,50,37,59,134,232,239,247,404,446,595,615,593,630,704,504,548,490,475,457,531,478,687,795,760,760,727,412,426,342,350,388,362,406,351,254,338,539
