Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1926,122833,110344,300584,219661,206349,394685,481575,348332,214380,144754,133105,97123
1927,194590,185137,320359,190610,180646,279453,521926,822940,978143,383642,236026,246364
1928,332390,422491,424133,477276,201977,413726,473985,978598,493680,293809,199389,140142
1929,181650,131251,110337,98824,95987,209117,266389,693137,570714,312009,164772,131160
1930,107675,89318,106379,96886,250753,282216,616253,431587,330244,174891,130693,100413
1931,120364,127801,90760,132041,198310,260107,367563,655695,342956,144591,93341,92744
1932,117479,194076,126904,215788,282038,651014,635361,811340,710284,318212,143822,124989
1933,152452,493755,355305,316604,111889,186649,532778,765393,1031278,611660,235321,221515
1934,344168,298426,1104887,708330,408514,664303,747912,554092,272715,164769,134817,144125
1935,212257,414101,257894,442249,342007,276411,368085,752548,738190,294155,159377,158792
1936,112442,67238,66455,115287,71817,247423,709205,1060472,750564,228672,139746,133516
1937,85129,53662,114463,61406,71183,219415,429731,683965,884670,325214,193914,164838
1938,112609,290103,311909,299549,155216,396847,789744,956654,723249,235907,150556,129137
1939,131086,123045,185044,216908,110953,247446,488045,550873,371284,219926,139089,128111
1940,118701,100595,218996,105778,207556,387621,514304,569778,301409,171334,129822,145404
1941,125241,104293,182162,118280,120611,288207,421315,350358,236518,128520,121917,176092
1942,178943,185863,285368,111353,132284,192177,457250,528214,429605,229360,152690,134595
1943,104719,197246,262405,242188,200022,302934,933040,728121,772476,456393,207045,141822
1944,140068,98805,181634,81193,99753,173246,283619,406272,336525,171054,153383,160745
1945,114483,100794,124911,262721,234565,159473,284540,709970,414543,209912,164167,166621
1946,136629,156633,149163,199509,118332,274963,603226,1140510,819907,360384,182545,184280
1947,187247,141269,451409,243043,313484,426409,561536,735223,489502,231721,176565,178892
1948,327479,325071,224521,187248,197538,235240,431387,1043187,1258164,358519,226169,183704
1949,178528,148216,143993,60167,157523,398221,820916,1285703,762585,344765,218145,194481
1950,233527,334436,258577,127747,188162,428137,587001,965572,1295183,596998,241001,164103
1951,283352,366336,540440,311060,578683,345445,813771,1102247,732307,270888,176489,181925
1952,251240,174213,162656,97810,200081,231053,533639,749172,452315,272254,180619,149084
1953,91908,53666,64406,455460,399323,223582,376079,755775,712339,406947,209088,146159
1954,125074,140683,327264,196416,224834,289057,542405,1049625,878905,624041,284138,213555
1955,202148,211926,135975,117457,150689,132719,242919,594631,924653,514830,203192,174953
1956,299473,428505,440884,275895,163725,438265,1095471,1533373,1115552,535036,229455,200774
1957,233793,176561,473259,114310,142426,292104,637521,1020449,440333,176171,161271,148027
1958,156251,100167,162325,167979,314421,312510,584821,1049066,447184,170080,124623,172473
1959,201934,454131,520855,468285,251138,339671,619090,711836,733879,303146,163516,315448
1960,419962,487334,357695,146939,197804,325804,598427,696282,580336,203475,160282,170817
1961,171311,214828,125699,250824,490967,481757,666513,968208,838587,251366,153167,152238
1962,180975,123686,184450,340335,265789,192298,643475,566543,509010,260936,180008,153635
1963,226747,338362,358712,224282,489333,284064,483537,549000,331201,205052,167423,159323
1964,137395,152442,133683,184417,140225,173574,340699,628837,1017704,496217,230640,178751
1965,197016,124026,300369,288460,495021,370078,698091,752466,631810,265070,186553,172797
1966,161619,127615,111658,124838,85561,242654,578411,712151,490112,294672,137240,162168
1967,154840,128087,328068,277868,267439,187392,258640,760896,874740,290651,146752,128675
1968,267017,222198,321414,412323,547120,477059,268031,515979,415689,195256,201933,230988
1969,220497,275693,203159,243874,130963,346550,690442,1151493,683768,207163,145631,189090
1970,171575,97716,94837,205591,226931,312209,384046,760066,713680,222018,142652,169320
1971,149570,134671,129320,388310,457042,241299,464006,1179661,897589,514592,218323,216016
1972,178079,162152,146074,235517,409330,1030385,632558,1416936,1239062,542222,279489,249194
1973,181389,125388,290175,275068,128558,176894,264069,461166,313961,140705,103074,139217
1974,129313,223542,274775,842117,327793,361268,744649,1013584,1340007,683924,280797,202544
1975,149074,102887,216176,339563,235468,319633,411505,983379,960334,479098,252059,181397
1976,201170,298382,771193,461774,281111,232693,557396,969271,614762,435146,321722,219169
1977,169399,101686,109664,149711,118078,92584,211495,245055,252194,120394,125746,175673
1978,125842,296885,831346,257552,266634,530434,595620,648040,542683,308510,206393,245598
1979,124684,105420,109112,62830,144712,295191,339896,658247,338544,171962,91640,80185
1980,64799,75776,356400,166649,216141,449439,753252,800122,412661,242327,168935,188519
1981,125512,227138,731413,408197,512970,345192,336610,464031,320642,219527,134707,145043
1982,205747,155154,213709,310777,680061,482113,440340,852726,891058,402563,186723,209496
1983,204347,155521,274425,493573,378116,728270,607854,919125,574172,367627,169364,213810
1984,146922,296332,184520,632670,297135,431835,453675,600507,755953,371041,183824,204379
1985,175648,141775,106593,75270,101187,195428,588755,707688,548176,168749,149857,211332
1986,202214,212720,78485,144859,365507,674797,480386,578468,393951,200400,121501,197179
1987,117608,249175,132335,98133,145211,446001,565503,696150,297757,168425,119167,91019
1988,67740,51188,151552,107911,184476,282973,602120,627829,463460,218085,121043,119941
1989,160044,220484,205875,204667,130426,250775,737782,663294,444600,209848,156243,139199
1990,115823,220507,264271,284662,218037,298988,766391,608624,560405,256320,201401,156203
1991,244625,694963,253912,262322,483729,265670,482251,612238,496673,317062,186837,141811
1992,96187,166138,241201,198763,274203,397313,432693,404336,199157,134872,101493,134305
1993,80306,115098,94885,123184,125253,307759,490597,701107,344325,176806,131540,109995
1994,90873,54220,100328,160333,104498,283317,510651,467410,248806,112390,83288,72833
1995,109946,150579,280494,257053,813028,548320,513735,946719,529628,263445,176272,179753
1996,265560,794715,570100,584095,1071304,542901,731883,642084,506418,264412,189813,193179
1997,172505,193902,217179,503632,458443,682377,862362,1347552,952650,462296,235097,239475
1998,349990,260494,169556,203234,282244,427137,554778,953700,510793,221115,152331,123317
1999,115560,190669,321410,417281,235062,345912,529954,892020,1025668,615771,297199,178289
2000,156829,346869,379184,161059,154532,267578,725900,710885,609439,253410,138620,178690
2001,169450,69015,60223,72483,63922,179432,278875,457712,254959,122335,119148,93711
2002,108329,239167,193466,357057,202275,270570,658338,773606,801481,317040,135096,132468
2003,106958,64748,90825,321390,415494,454506,528769,620990,465979,166402,153088,134282
2004,191026,222527,161655,156499,184709,398519,526784,525670,345790,173678,219058,243825
2005,175521,183556,245016,351092,153378,138047,262604,352864,176669,106224,90166,120461
2006,122142,137128,178145,397484,238438,207984,603681,1002016,691981,216008,134908,125286
2007,77939,468564,204731,311707,301307,750153,562781,690505,434227,193856,139429,135134
2008,169472,104747,242696,106610,146101,230791,307723,1026116,662251,306383,177068,142967
2009,139200,322325,159705,478975,141482,205174,501389,892502,606937,189498,159976,177534
2010,189423,217230,157456,209206,191210,257799,393374,648049,777845,303911,168200,227806
2011,145958,207349,203627,623104,339502,369413,607725,964496,875283,491990,205341,166720
2012,177628,105772,121704,197503,279143,347324,826961,988342,798768,450517,185404,146827
2013,207964,256518,228862,141553,155074,338439,648786,827977,494619,228267,197233,245816
2014,235787,184243,217201,204198,161880,592579,604580,846489,478397,239766,199227,171562
2015,202443,357050,411562,526045,493274,378031,281324,286979,123703,79091,91638,102572
2016,59577,384837,446237,231840,629289,636528,854107,641492,302262,159865,123884,122667
2017,228551,237011,133146,35451,222248,698618,817361,1055432,562792,163576,120219,128957
2018,181179,307652,190792,244426,414049,228199,591894,870714,226350,14695,68054,111447
